<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
1/1/2025,00:00:00,3338.14000000,3342.00000000,3336.27000000,3336.57000000,7826761
1/1/2025,00:15:00,3336.58000000,3348.47000000,3334.76000000,3347.40000000,11849907
1/1/2025,00:30:00,3347.41000000,3353.00000000,3345.99000000,3348.62000000,13400864
1/1/2025,00:45:00,3348.63000000,3360.47000000,3348.03000000,3355.36000000,28098106
1/1/2025,01:00:00,3355.36000000,3364.50000000,3353.11000000,3362.90000000,14978352
1/1/2025,01:15:00,3362.89000000,3365.32000000,3354.00000000,3359.62000000,13083658
1/1/2025,01:30:00,3359.62000000,3359.62000000,3350.05000000,3351.78000000,9644762
1/1/2025,01:45:00,3351.79000000,3357.57000000,3351.55000000,3351.83000000,5642668
1/1/2025,02:00:00,3351.83000000,3353.65000000,3341.18000000,3345.82000000,11712150
1/1/2025,02:15:00,3345.83000000,3354.19000000,3345.25000000,3354.19000000,8493047
1/1/2025,02:30:00,3354.18000000,3354.18000000,3348.21000000,3349.61000000,4278749
1/1/2025,02:45:00,3349.61000000,3359.49000000,3349.17000000,3356.89000000,6821247
1/1/2025,03:00:00,3356.89000000,3368.02000000,3354.56000000,3361.81000000,21720716
1/1/2025,03:15:00,3361.81000000,3363.00000000,3357.58000000,3359.05000000,7953806
1/1/2025,03:30:00,3359.05000000,3359.05000000,3350.86000000,3353.95000000,6369810
1/1/2025,03:45:00,3353.96000000,3356.41000000,3351.24000000,3355.06000000,4454123
1/1/2025,04:00:00,3355.06000000,3356.07000000,3350.23000000,3354.34000000,6026000
1/1/2025,04:15:00,3354.35000000,3355.77000000,3347.20000000,3348.16000000,11718951
1/1/2025,04:30:00,3348.16000000,3350.84000000,3345.12000000,3347.45000000,16057280
1/1/2025,04:45:00,3347.45000000,3349.68000000,3343.37000000,3344.84000000,9213621
1/1/2025,05:00:00,3344.84000000,3346.42000000,3338.26000000,3339.94000000,17122072
1/1/2025,05:15:00,3339.93000000,3347.00000000,3339.13000000,3345.85000000,9649261
1/1/2025,05:30:00,3345.84000000,3350.20000000,3344.19000000,3348.89000000,10090155
1/1/2025,05:45:00,3348.89000000,3350.56000000,3343.24000000,3347.22000000,7656174
1/1/2025,06:00:00,3347.22000000,3348.72000000,3343.46000000,3344.21000000,6563493
1/1/2025,06:15:00,3344.21000000,3347.33000000,3337.60000000,3340.46000000,10490947
1/1/2025,06:30:00,3340.46000000,3344.86000000,3339.58000000,3342.96000000,6666178
1/1/2025,06:45:00,3342.97000000,3343.63000000,3335.46000000,3343.63000000,9578869
1/1/2025,07:00:00,3343.63000000,3345.76000000,3341.62000000,3345.66000000,5230614
1/1/2025,07:15:00,3345.66000000,3345.67000000,3339.09000000,3340.27000000,6262249
1/1/2025,07:30:00,3340.27000000,3343.95000000,3338.31000000,3340.66000000,3857125
1/1/2025,07:45:00,3340.65000000,3344.82000000,3340.00000000,3343.20000000,4565501
1/1/2025,08:00:00,3343.20000000,3348.00000000,3341.97000000,3345.84000000,7897173
1/1/2025,08:15:00,3345.83000000,3348.00000000,3343.72000000,3346.38000000,4862398
1/1/2025,08:30:00,3346.39000000,3347.77000000,3330.06000000,3336.48000000,19710721
1/1/2025,08:45:00,3336.48000000,3341.80000000,3335.48000000,3338.56000000,9873398
1/1/2025,09:00:00,3338.57000000,3338.98000000,3332.23000000,3335.57000000,12295958
1/1/2025,09:15:00,3335.56000000,3340.17000000,3329.52000000,3333.38000000,20645619
1/1/2025,09:30:00,3333.38000000,3333.39000000,3312.62000000,3321.66000000,91382427
1/1/2025,09:45:00,3321.67000000,3328.60000000,3318.50000000,3326.22000000,19796241
1/1/2025,10:00:00,3326.22000000,3334.33000000,3323.12000000,3333.64000000,13911421
1/1/2025,10:15:00,3333.63000000,3338.05000000,3328.35000000,3329.19000000,15957388
1/1/2025,10:30:00,3329.18000000,3335.77000000,3328.36000000,3331.71000000,7989914
1/1/2025,10:45:00,3331.73000000,3336.80000000,3327.40000000,3329.60000000,6642069
1/1/2025,11:00:00,3329.59000000,3331.17000000,3324.92000000,3325.99000000,7293068
1/1/2025,11:15:00,3326.00000000,3329.89000000,3322.68000000,3328.64000000,10695832
1/1/2025,11:30:00,3328.65000000,3334.82000000,3328.64000000,3334.82000000,7881041
1/1/2025,11:45:00,3334.82000000,3342.30000000,3333.30000000,3342.08000000,17086229
1/1/2025,12:00:00,3342.08000000,3348.00000000,3338.94000000,3340.06000000,17652338
1/1/2025,12:15:00,3340.06000000,3343.19000000,3337.29000000,3340.74000000,9040620
1/1/2025,12:30:00,3340.74000000,3350.86000000,3340.54000000,3349.43000000,15726411
1/1/2025,12:45:00,3349.42000000,3351.57000000,3343.81000000,3346.58000000,12389133
1/1/2025,13:00:00,3346.59000000,3347.81000000,3343.00000000,3346.00000000,7144096
1/1/2025,13:15:00,3346.00000000,3352.78000000,3336.33000000,3337.99000000,19516481
1/1/2025,13:30:00,3337.98000000,3341.89000000,3330.98000000,3335.03000000,17892235
1/1/2025,13:45:00,3335.03000000,3343.15000000,3333.33000000,3336.28000000,9421978
1/1/2025,14:00:00,3336.29000000,3343.16000000,3336.00000000,3343.10000000,12296956
1/1/2025,14:15:00,3343.10000000,3359.09000000,3342.72000000,3347.31000000,34440329
1/1/2025,14:30:00,3347.31000000,3348.39000000,3335.58000000,3336.15000000,16659525
1/1/2025,14:45:00,3336.15000000,3341.25000000,3327.00000000,3338.11000000,26075852
1/1/2025,15:00:00,3338.11000000,3349.00000000,3334.56000000,3345.19000000,18675028
1/1/2025,15:15:00,3345.19000000,3349.88000000,3332.00000000,3336.10000000,17463138
1/1/2025,15:30:00,3336.11000000,3343.53000000,3332.30000000,3338.01000000,11222467
1/1/2025,15:45:00,3338.01000000,3346.88000000,3336.33000000,3346.49000000,8923473
1/1/2025,16:00:00,3346.49000000,3354.25000000,3346.44000000,3352.07000000,21916533
1/1/2025,16:15:00,3352.06000000,3356.78000000,3345.08000000,3346.70000000,19679057
1/1/2025,16:30:00,3346.71000000,3348.64000000,3342.25000000,3344.30000000,11081159
1/1/2025,16:45:00,3344.31000000,3345.55000000,3335.10000000,3335.40000000,13986267
1/1/2025,17:00:00,3335.40000000,3338.53000000,3331.18000000,3337.74000000,13162807
1/1/2025,17:15:00,3337.74000000,3339.42000000,3328.41000000,3330.28000000,16359902
1/1/2025,17:30:00,3330.29000000,3334.46000000,3321.11000000,3333.30000000,21500717
1/1/2025,17:45:00,3333.30000000,3338.40000000,3331.32000000,3337.09000000,7809604
1/1/2025,18:00:00,3337.10000000,3344.38000000,3333.00000000,3342.91000000,10762661
1/1/2025,18:15:00,3342.91000000,3344.85000000,3332.37000000,3333.80000000,8796330
1/1/2025,18:30:00,3333.80000000,3340.80000000,3333.05000000,3338.25000000,4117338
1/1/2025,18:45:00,3338.26000000,3349.46000000,3338.00000000,3347.89000000,15408600
1/1/2025,19:00:00,3347.90000000,3351.48000000,3342.67000000,3347.80000000,13215171
1/1/2025,19:15:00,3347.80000000,3354.04000000,3344.65000000,3347.49000000,12405112
1/1/2025,19:30:00,3347.50000000,3349.19000000,3342.09000000,3344.26000000,7954870
1/1/2025,19:45:00,3344.25000000,3351.86000000,3337.50000000,3349.67000000,10598625
1/1/2025,20:00:00,3349.67000000,3364.30000000,3348.78000000,3356.23000000,33054559
1/1/2025,20:15:00,3356.21000000,3361.00000000,3355.26000000,3357.00000000,11543755
1/1/2025,20:30:00,3356.99000000,3361.20000000,3351.06000000,3353.70000000,10952093
1/1/2025,20:45:00,3353.69000000,3356.77000000,3351.00000000,3354.32000000,9850422
1/1/2025,21:00:00,3354.32000000,3361.76000000,3354.31000000,3359.18000000,12250321
1/1/2025,21:15:00,3359.18000000,3363.67000000,3352.00000000,3355.33000000,21863325
1/1/2025,21:30:00,3355.33000000,3371.12000000,3354.72000000,3366.65000000,19176989
1/1/2025,21:45:00,3366.64000000,3367.60000000,3358.53000000,3361.17000000,10590014
1/1/2025,22:00:00,3361.34000000,3368.34000000,3360.84000000,3367.60000000,7229320
1/1/2025,22:15:00,3367.60000000,3368.76000000,3357.81000000,3362.70000000,11613983
1/1/2025,22:30:00,3362.68000000,3374.14000000,3361.38000000,3367.65000000,14856871
1/1/2025,22:45:00,3367.65000000,3368.80000000,3362.07000000,3368.01000000,7511012
1/1/2025,23:00:00,3368.01000000,3368.01000000,3357.70000000,3360.55000000,16050602
1/1/2025,23:15:00,3360.54000000,3366.00000000,3355.37000000,3360.67000000,11117905
1/1/2025,23:30:00,3360.66000000,3360.67000000,3353.34000000,3355.34000000,12782658
1/1/2025,23:45:00,3355.34000000,3359.41000000,3352.00000000,3358.01000000,7416916
1/2/2025,00:00:00,3358.01000000,3361.16000000,3354.85000000,3359.36000000,6952930
1/2/2025,00:15:00,3359.35000000,3360.95000000,3353.50000000,3360.53000000,11480152
1/2/2025,00:30:00,3360.53000000,3394.93000000,3354.58000000,3383.92000000,64434146
1/2/2025,00:45:00,3383.92000000,3394.65000000,3374.49000000,3390.16000000,35528298
1/2/2025,01:00:00,3390.16000000,3399.77000000,3384.04000000,3389.12000000,31262753
1/2/2025,01:15:00,3389.11000000,3405.00000000,3389.10000000,3398.53000000,31791501
1/2/2025,01:30:00,3398.53000000,3402.36000000,3390.48000000,3391.62000000,17193493
1/2/2025,01:45:00,3391.63000000,3391.64000000,3375.84000000,3387.76000000,25710524
1/2/2025,02:00:00,3387.77000000,3389.00000000,3380.68000000,3383.01000000,7277453
1/2/2025,02:15:00,3383.00000000,3391.51000000,3381.07000000,3386.73000000,8453353
1/2/2025,02:30:00,3386.73000000,3392.98000000,3377.00000000,3388.48000000,11148499
1/2/2025,02:45:00,3388.47000000,3389.92000000,3381.04000000,3387.17000000,8705820
1/2/2025,03:00:00,3387.17000000,3398.00000000,3387.16000000,3397.89000000,12546397
1/2/2025,03:15:00,3397.89000000,3401.77000000,3386.67000000,3388.59000000,12631940
