Trade#,Type,EntryDate,EntryPrice,ExitDate,ExitPrice,PositionSize,PnL_USDT,PnL_Percent,Commission,NetPnL
1,LONG,2025-01-02 04:45:00,3416.96,2025-01-02 05:15:00,3402.47,165.651068,-2400.00,-0.42,564.82,-2964.82
2,LONG,2025-01-02 08:15:00,3432.39,2025-01-02 08:30:00,3420.97,203.413473,-2322.05,-0.33,697.03,-3019.09
3,LONG,2025-01-02 09:00:00,3437.99,2025-01-02 10:00:00,3467.87,191.248648,5714.51,0.87,660.37,5054.14
4,LONG,2025-01-03 00:30:00,3461.93,2025-01-03 01:00:00,3449.20,185.024741,-2354.62,-0.37,639.37,-2993.99
5,LONG,2025-01-03 01:30:00,3458.25,2025-01-03 05:30:00,3444.66,167.408578,-2275.08,-0.39,577.80,-2852.89
6,LONG,2025-01-04 06:15:00,3602.28,2025-01-04 08:00:00,3593.77,258.358707,-2199.67,-0.24,929.58,-3129.25
7,LONG,2025-01-04 08:15:00,3602.54,2025-01-04 08:30:00,3593.11,224.066576,-2113.40,-0.26,806.15,-2919.55
8,LONG,2025-01-04 12:00:00,3601.16,2025-01-04 12:30:00,3635.24,178.054809,6068.11,0.95,644.24,5423.87
9,LONG,2025-01-05 15:15:00,3624.94,2025-01-05 18:15:00,3612.29,170.505785,-2156.12,-0.35,617.00,-2773.11
10,LONG,2025-01-06 02:15:00,3667.80,2025-01-06 07:30:00,3648.14,105.906249,-2082.15,-0.54,387.40,-2469.55
11,LONG,2025-01-06 15:00:00,3684.50,2025-01-06 16:15:00,3735.28,46.372027,2354.59,1.38,172.04,2182.55
11,LONG,2025-01-06 15:00:00,3684.50,2025-01-06 16:45:00,3713.38,46.372027,1339.16,0.78,171.53,1167.63
12,SHORT,2025-01-08 11:45:00,3340.32,2025-01-08 12:15:00,3357.58,121.385282,-2094.52,-0.52,406.51,-2501.03
13,SHORT,2025-01-08 15:45:00,3337.12,2025-01-08 17:15:00,3257.19,88.808524,7098.47,2.40,292.82,6805.65
14,SHORT,2025-01-09 04:15:00,3313.21,2025-01-09 05:00:00,3332.51,113.454329,-2189.41,-0.58,376.99,-2566.40
15,SHORT,2025-01-09 07:45:00,3294.93,2025-01-09 08:15:00,3276.00,144.181883,2729.36,0.57,473.70,2255.66
16,SHORT,2025-01-09 13:30:00,3286.21,2025-01-09 14:00:00,3240.33,55.224420,2533.70,1.40,180.21,2353.48
16,SHORT,2025-01-09 13:30:00,3286.21,2025-01-09 14:15:00,3236.32,55.224420,2755.15,1.52,180.10,2575.04
17,SHORT,2025-01-09 18:00:00,3248.97,2025-01-09 19:45:00,3228.17,84.213289,1751.64,0.64,272.73,1478.91
18,SHORT,2025-01-11 01:30:00,3248.55,2025-01-11 09:00:00,3222.59,104.175694,2704.19,0.80,337.07,2367.12
18,SHORT,2025-01-11 01:30:00,3248.55,2025-01-11 09:15:00,3230.40,104.175694,1890.28,0.56,337.47,1552.81
19,LONG,2025-01-15 04:00:00,3239.99,2025-01-15 04:30:00,3221.14,127.557311,-2403.84,-0.58,412.08,-2815.92
20,LONG,2025-01-15 07:30:00,3247.85,2025-01-15 07:45:00,3234.66,176.704999,-2331.29,-0.41,572.75,-2904.04
21,LONG,2025-01-15 08:30:00,3246.79,2025-01-15 08:45:00,3233.93,175.307928,-2254.71,-0.40,568.06,-2822.77
22,LONG,2025-01-15 13:30:00,3216.80,2025-01-15 13:45:00,3253.00,70.266016,2543.49,1.13,227.30,2316.19
