Trade,SignalType,Type,EntryDate,EntryPrice,ExitDate,ExitPrice,PositionSize,PnL_USDT,PnL_Percent,Commission,NetPnL,SessionType,ExitReason
1,Trend,SHORT,2025-01-08 15:30:00,3345.8,2025-01-08 17:15:00,3257.19,91.67303284950368,4873.8884644767195,1.589037001613966,242.93876241405718,4630.949702062662,Primary,RSI_Extreme
2,Trend,SHORT,2025-01-27 16:45:00,3089.68,2025-01-27 19:00:00,3053.68,74.85981544554356,2694.953356039568,1.1651692084617178,229.94539790776722,2465.007958131801,Primary,RSI_Extreme
3,Trend,SHORT,2025-03-04 01:30:00,2120.34,2025-03-04 02:15:00,2052.41,46.417196154444355,945.9360404314255,0.9611194431081848,63.500186480958746,882.4358539504667,Quiet,RSI_Extreme
4,Trend,LONG,2025-06-10 07:30:00,2682.1,2025-06-10 07:45:00,2672.83,121.94456827638379,-1130.4261479220754,-0.34562469706573135,326.5023135001279,-1456.9284614222033,Secondary,StopLoss
5,Trend,SHORT,2025-06-13 14:15:00,2528.55,2025-06-13 15:15:00,2547.79,123.5789603979606,-2377.659198056735,-0.7609104031954986,313.6644099132917,-2691.323607970027,Primary,StopLoss
6,Trend,LONG,2025-06-24 13:45:00,2417.76,2025-06-24 16:45:00,2469.58,146.5930573338213,2278.935669311573,0.6429918602342627,231.51690752927865,2047.4187617822943,Primary,RSI_Extreme
7,Trend,LONG,2025-07-03 05:15:00,2575.85,2025-07-03 06:45:00,2596.69,113.71447783323255,1421.8858308267497,0.48543199332259596,235.040093096799,1186.8457377299508,Quiet,RSI_Extreme
8,Trend,LONG,2025-07-16 05:15:00,3137.93,2025-07-16 14:15:00,3178.59,68.30301725381143,833.1602044619981,0.3887276006794317,139.73113660754515,693.4290678544529,Quiet,TrailingStop
9,Trend,SHORT,2025-08-01 13:45:00,3624.48,2025-08-01 14:30:00,3649.9,101.67211598931863,-2584.505188448487,-0.7013419856089722,369.8008035551898,-2954.3059920036767,Primary,StopLoss
10,Trend,SHORT,2025-08-18 14:00:00,4285.2,2025-08-18 14:15:00,4312.08,65.34161319608023,-1756.3825627106437,-0.6272752730327665,280.8800721491983,-2037.262634859842,Primary,StopLoss
11,Trend,SHORT,2025-08-29 14:00:00,4329.67,2025-08-29 19:30:00,4350.88,70.41277743793489,-1493.4550094586016,-0.4898756718179454,305.6108175944329,-1799.0658270530344,Primary,StopLoss
12,Trend,SHORT,2025-09-22 15:15:00,4172.21,2025-09-22 20:45:00,4173.45,92.55786272228357,-68.86304986536686,-0.017832275940086167,308.97110386776365,-377.8341537331305,Primary,StopLoss
13,Trend,LONG,2025-10-01 20:00:00,4332.24,2025-10-01 20:15:00,4321.59,95.97208564939459,-1022.1027121660175,-0.24583125588609214,415.26305697765014,-1437.3657691436676,Secondary,StopLoss
14,Trend,SHORT,2025-12-16 01:00:00,2941.43,2025-12-16 01:15:00,2954.22,74.06435052595658,-947.283043226982,-0.4348225182989215,218.32874408917797,-1165.61178731616,Quiet,StopLoss
