Trade#,Regime,SignalType,Type,EntryDate,EntryPrice,ExitDate,ExitPrice,PositionSize,PnL_USDT,PnL_Percent,Commission,NetPnL,Duration_Hours,ExitReason,SessionMultiplier
1,TRENDING,TrendFollow,LONG,2025-01-06 05:30:00,3687.34,2025-01-06 08:45:00,3638.07,19.9415,-982.52,-1.44,73.04,-1055.56,3.25,StopLoss,0.60
2,TRENDING,TrendFollow,LONG,2025-01-06 05:45:00,3684.55,2025-01-06 08:45:00,3638.07,22.1823,-1031.03,-1.36,81.22,-1112.25,3.00,StopLoss,0.60
3,TRENDING,TrendFollow,SHORT,2025-01-08 06:30:00,3336.55,2025-01-08 11:30:00,3348.90,21.7493,-268.60,-0.47,72.70,-341.31,5.00,StopLoss,0.80
4,TRENDING,TrendFollow,SHORT,2025-01-08 06:45:00,3327.59,2025-01-08 11:30:00,3348.90,21.6730,-461.85,-0.74,72.35,-534.20,4.75,StopLoss,0.80
5,TRENDING,TrendFollow,SHORT,2025-01-09 13:45:00,3251.86,2025-01-09 16:00:00,3318.79,27.4727,-1838.75,-2.16,90.26,-1929.01,2.25,StopLoss,1.00
6,TRENDING,TrendFollow,SHORT,2025-01-09 14:15:00,3239.84,2025-01-09 16:00:00,3318.79,23.7181,-1872.54,-2.54,77.78,-1950.32,1.75,StopLoss,1.00
7,TRENDING,TrendFollow,SHORT,2025-01-13 05:15:00,3227.23,2025-01-13 10:30:00,3121.74,18.6886,828.01,1.30,42.41,785.60,5.25,TP3,0.60
8,TRENDING,TrendFollow,LONG,2025-01-15 14:15:00,3289.11,2025-01-15 15:00:00,3328.36,26.3137,1032.81,1.09,87.06,945.75,0.75,RSI_Extreme,1.00
9,TRENDING,TrendFollow,LONG,2025-01-15 19:30:00,3392.02,2025-01-15 21:00:00,3432.73,25.1147,332.29,0.32,56.60,275.68,1.50,TrailingStop,0.80
10,TRENDING,TrendFollow,LONG,2025-01-15 19:45:00,3408.06,2025-01-16 00:45:00,3396.90,24.6169,-137.36,-0.24,62.85,-200.22,5.00,StopLoss,0.80
11,TRENDING,TrendFollow,SHORT,2025-01-21 01:30:00,3214.20,2025-01-21 11:00:00,3302.00,9.5804,-841.16,-2.83,31.21,-872.37,9.50,StopLoss,0.60
12,RANGING,MeanReversion,SHORT,2025-01-21 10:45:00,3288.75,2025-01-21 15:30:00,3298.17,24.7686,-116.66,-0.22,61.15,-177.81,4.75,StopLoss,1.00
13,TRENDING,TrendFollow,SHORT,2025-01-22 19:00:00,3248.92,2025-01-23 14:45:00,3268.21,27.0217,-312.75,-0.44,70.39,-383.14,19.75,StopLoss,0.80
14,TRENDING,TrendFollow,SHORT,2025-01-23 02:30:00,3223.98,2025-01-23 14:45:00,3268.21,19.8221,-876.73,-1.47,64.34,-941.08,12.25,StopLoss,0.60
15,TRENDING,TrendFollow,SHORT,2025-01-27 06:30:00,3116.01,2025-01-27 06:45:00,3093.54,22.9318,515.28,0.62,71.20,444.08,0.25,RSI_Extreme,0.80
16,TRENDING,TrendFollow,SHORT,2025-01-27 16:45:00,3089.68,2025-01-27 21:15:00,3187.70,20.7334,-2032.29,-3.27,65.08,-2097.37,4.50,StopLoss,1.00
17,TRENDING,TrendFollow,SHORT,2025-01-29 14:45:00,3098.51,2025-01-29 19:45:00,3133.65,34.5738,-728.95,-0.76,86.07,-815.02,5.00,StopLoss,1.00
18,TRENDING,TrendFollow,SHORT,2025-01-29 15:00:00,3095.28,2025-01-29 19:45:00,3133.65,31.9924,-736.53,-0.82,79.59,-816.12,4.75,StopLoss,1.00
