Trade#,Type,EntryDate,EntryPrice,ExitDate,ExitPrice,PositionSize,PnL_USDT,PnL_Percent,Commission,NetPnL,Duration_Candles,ExitReason,SessionMultiplier,RiskPercent,SL_Distance,TP1_Price,TP2_Price,TP3_Price
1,LONG,2025-01-15 20:00:00,3433.76,2025-01-15 20:15:00,3457.61,52.941732581224706,1080.2397882330672,1.0802397882330672,182.42053382913724,1080.2397882330672,1,RSI_OVERBOUGHT,0.8,0.015,22.666428571428522,3477.349285714286,3512.220714285714,3555.81
2,SHORT,2025-01-20 17:45:00,3229.78,2025-01-20 18:00:00,3292.95,44.51525795083341,-2957.2093490009493,-2.9572093490009492,145.1805042468198,-2957.2093490009493,1,STOP_LOSS,0.8,0.02,36.33100000000002,3151.927857142857,3074.0757142857146,2970.272857142857
3,LONG,2025-01-30 15:00:00,3269.61,2025-01-30 20:45:00,3229.79,63.560202817568516,-2737.518867291841,-2.737518867291841,206.55159109625242,-2737.518867291841,23,STOP_LOSS,1.0,0.015,23.156714285714216,3314.142142857143,3349.767857142857,3394.2999999999997
4,SHORT,2025-02-24 22:15:00,2564.38,2025-02-24 23:15:00,2535.05,67.11775178042006,2750.3096194519485,2.7503096194519485,170.6549380319317,2750.3096194519485,4,TRAILING_STOP,0.6,0.02,17.053999999999995,2527.8357142857144,2491.2914285714287,2442.5657142857144
5,SHORT,2025-02-26 13:00:00,2431.95,2025-02-26 13:15:00,2429.17,218.89437615879726,76.4904508048744,0.0764904508048744,532.0359149165263,76.4904508048744,1,RSI_OVERSOLD,1.0,0.02,8.96649999999995,2412.7360714285714,2393.522142857143,2367.9035714285715
6,SHORT,2025-02-27 15:00:00,2307.5,2025-02-27 15:30:00,2326.3,151.89624040861008,-3207.577719084606,-3.207577719084606,351.9283994027087,-3207.577719084606,2,STOP_LOSS,1.0,0.02,12.931500000000005,2279.789642857143,2252.0792857142856,2215.1321428571428
7,SHORT,2025-02-28 01:45:00,2219.34,2025-02-28 03:00:00,2166.65,78.95130242917944,5344.181844056282,5.344181844056282,172.46146188020685,5344.181844056282,5,TRAILING_STOP,0.6,0.02,14.439999999999985,2188.397142857143,2157.454285714286,2116.1971428571433
8,SHORT,2025-03-03 06:45:00,2387.64,2025-03-03 10:30:00,2356.95,79.9035857606599,2227.750844101661,2.2277508441016614,189.57233591557332,2227.750844101661,15,TRAILING_STOP,0.4,0.02,10.047000000000002,2366.110714285714,2344.5814285714287,2315.875714285714
9,SHORT,2025-03-03 18:30:00,2211.05,2025-03-03 20:00:00,2108.27,89.00844220295734,8956.059717331935,8.956059717331936,192.22797228803884,8956.059717331935,6,RSI_OVERSOLD,0.8,0.02,18.43899999999996,2171.5378571428573,2132.0257142857145,2079.3428571428576
10,LONG,2025-03-06 03:00:00,2283.29,2025-03-06 13:30:00,2256.99,46.36342002653799,-1324.6094010370025,-1.3246094010370024,105.25145433904495,-1324.6094010370025,42,STOP_LOSS,0.6,0.015,21.65057142857146,2324.925714285714,2358.2342857142858,2399.8700000000003
11,SHORT,2025-03-11 00:45:00,1813.78,2025-03-11 01:45:00,1842.55,81.68606566589148,-2499.4437154457805,-2.4994437154457807,149.3356062380845,-2499.4437154457805,4,STOP_LOSS,0.6,0.02,16.19000000000002,1779.0871428571427,1744.3942857142856,1698.1371428571426
12,SHORT,2025-03-11 14:45:00,1852.51,2025-03-11 15:15:00,1903.41,101.24898779105058,-5343.715027676565,-5.343715027676565,190.14154911208135,-5343.715027676565,2,STOP_LOSS,1.0,0.02,21.275999999999996,1806.9185714285713,1761.327142857143,1700.5385714285715
13,SHORT,2025-04-02 22:15:00,1836.21,2025-04-03 00:30:00,1810.67,68.67442825590186,2192.133075051037,2.192133075051037,124.9421343030925,2192.133075051037,9,TRAILING_STOP,0.6,0.02,17.886999999999997,1797.8807142857142,1759.5514285714287,1708.4457142857143
14,SHORT,2025-04-07 03:45:00,1527.2,2025-04-07 04:00:00,1542.79,59.11354982868923,-1012.319245248549,-1.012319245248549,90.73900341928882,-1012.319245248549,1,STOP_LOSS,0.4,0.02,14.15,1496.8785714285714,1466.557142857143,1426.1285714285714
15,SHORT,2025-04-08 15:00:00,1530.34,2025-04-08 17:00:00,1486.0,187.4198325973943,7134.032378362291,7.134032378362291,283.10749667957543,7134.032378362291,8,RSI_OVERSOLD,1.0,0.02,11.04950000000001,1506.6625,1482.985,1451.4149999999997
16,LONG,2025-05-12 00:30:00,2530.67,2025-05-12 01:45:00,2508.3,50.55054084114287,-1258.1769280075073,-1.2581769280075072,127.36132939114685,-1258.1769280075073,5,STOP_LOSS,0.6,0.015,19.70521428571425,2568.5646428571426,2598.880357142857,2636.7749999999996
17,LONG,2025-05-12 07:15:00,2572.79,2025-05-12 08:15:00,2543.47,60.629043677758865,-1932.740536135285,-1.932740536135285,155.0969755033853,-1932.740536135285,4,STOP_LOSS,0.8,0.015,21.657071428571474,2614.4382142857144,2647.756785714286,2689.405
18,SHORT,2025-05-14 14:30:00,2567.83,2025-05-14 14:45:00,2582.68,155.95471279838273,-2717.5506389635684,-2.7175506389635684,401.6231539075991,-2717.5506389635684,1,STOP_LOSS,1.0,0.02,13.784499999999955,2538.2917857142857,2508.7535714285714,2469.369285714286
19,LONG,2025-05-20 03:15:00,2575.34,2025-05-20 04:30:00,2547.0,36.23300993164915,-1119.642399509584,-1.1196423995095839,92.79889804664185,-1119.642399509584,5,STOP_LOSS,0.6,0.015,26.024142857142838,2625.3864285714285,2665.4235714285714,2715.4700000000003
